	nrooms	meters	floor	floors_total	flat_or_appart	zh_comp	deadline	to_metro	district	area	metro	mainprice	price_per_meter	otdelka	developer
1229	1	40,27	11	40	F	ЖК «ЗИЛАРТ»		8 минут пешком	ЮАО	р-н Даниловский	м. ЗИЛ	16400000	407251		Владис
1230						ЖК «Архитектор»	сдача ГК: 4 кв. 2023 года	13 минут пешком	ЮЗАО	р-н Обручевский	м. Калужская	16500000	392857	С отделкой	ФСК Агент
1231						ЖК «Sydney City»	сдача ГК: 2 кв. 2023 года	20 минут пешком	СЗАО	р-н Хорошево-Мневники	м. Хорошёво	16500000	436508		ФСК Агент
1232						ЖК «Апартаментный комплекс Level Донской»		15 минут пешком	ЮАО	р-н Донской	м. Шаболовская	16500000	467422		CENTURY 21
1233	1	46	12	34	F	ЖК «iLove»		11 минут пешком	СВАО	р-н Останкинский	м. Алексеевская	16500000	358696		КОРТРОС
1234						ЖК «Level Причальный»	сдача ГК: 4 кв. 2023 года	9 минут пешком	СЗАО	р-н Хорошево-Мневники	м. Шелепиха	16586022	471194		Level Group
1235	1	46,9	2	22	F	ЖК «Балтийский»		9 минут пешком	САО	р-н Войковский	м. Войковская	16690000	355864		ГОРОБМЕН
1236						ЖК «Рихард»	дом сдан	16 минут пешком	САО	р-н Хорошевский	м. Зорге	16778762	445060		ФСК
1237	1	37,6	3	8	A	ЖК «Verdi»	сдача ГК: 2 кв. 2024 года	5 минут пешком	САО	р-н Савеловский	м. Петровский Парк	16865700	448556		Glincom
1238						ЖК «Вереск»	сдача ГК: 2 кв. 2023 года	17 минут пешком	СЗАО	р-н Хорошево-Мневники	м. Карамышевская	16727844	408994		МИЦ
1239	1	39	7	26	F	ЖК «RiverSky»		15 минут пешком	ЮАО	р-н Даниловский	м. Автозаводская	16850000	432051		EstateLiga
1240						ЖК «Moments»	сдача ГК: 3 кв. 2025 года	3 минуты пешком	СЗАО	р-н Щукино	м. Стрешнево	16909338	388185		Forma
1241								15 минут пешком	ЗАО	р-н Кунцево	м. Молодёжная	17000000	425000		Life Style
1242								9 минут пешком	ЦАО	р-н Таганский	м. Чкаловская	17000000	478873		Суламит-НГС
1243						ЖК «Октябрьское поле»		20 минут пешком	СЗАО	р-н Щукино	м. Октябрьское поле	16990000	485429		ID 90848213
1244	1	41,9	3	27	F	ЖК «Era»	сдача ГК: 3 кв. 2026 года	17 минут пешком	ЮАО	р-н Даниловский	м. Павелецкая	17258610	411900		TEKTA GROUP
1245								8 минут пешком	ЮАО	р-н Нагорный	м. Варшавская	17300000	248563		Диамантъ
1246	1	40,3	29	39	F	ЖК «Крылья»		14 минут пешком	ЗАО	р-н Раменки		17300000	429280		Этажи Москва
1247	1	39,2	2	10	F			11 минут пешком	ЗАО	р-н Дорогомилово	м. Студенческая	17200000	438776		Realty Point - Точка недвижимости
1248	1	38,18	3	31	F	ЖК «VERY»	сдача ГК: 1 кв. 2024 года	14 минут на транспорте	СВАО	р-н Марфино	м. Балтийская	17500000	458355		Основа
1249	1	45	8	30	F	ЖК «Метрополия»		4 минуты пешком	ЮВАО	р-н Южнопортовый	м. Угрешская	17500000	388889		EstateLiga
1250	1	50,8	10	11	F	ЖК «Изумрудная 24»		18 минут пешком	СВАО	р-н Лосиноостровский	м. Бабушкинская	17500000	344488		Азбука Жилья
1251						ЖК «Headliner»	сдача ГК: 2 кв. 2024 года	2 минуты пешком	ЦАО	р-н Пресненский	м. Шелепиха	17500000	426829		Elite Real Estate Moscow
1252						ЖК «SYMPHONY 34»		5 минут пешком	САО	р-н Савеловский	м. Дмитровская	17648458	430031		MR Group
1253	1	43,7	7	17	F	ЖК «Shagal»	сдача ГК: 4 кв. 2024 года	17 минут пешком	ЮАО	р-н Даниловский	м. Технопарк	17712494	405320		Группа Эталон
1254	1	50	6	14	F			11 минут пешком	ЗАО	р-н Фили-Давыдково	м. Кунцевская	17700000	354000		Этажи Москва
1255						ЖК «SOUL»	сдача ГК: 3 кв. 2025 года	4 минуты пешком	САО	р-н Аэропорт	м. Красный Балтиец	17605595	441243		Forma
1256						ЖК «Балаклавский проспект, 15»		9 минут пешком	ЮАО	р-н Чертаново Северное	м. Чертановская	17840000	324364		Алия Алиева
1257								4 минуты на транспорте	ВАО	р-н Богородское	м. Бульвар Рокоссовского	17800000	342308		Alliance Agency Real Estate
1258						ЖК «SYMPHONY 34»		5 минут пешком	САО	р-н Савеловский	м. Дмитровская	17985823	440937		MR Group
1259						ЖК «Резиденции Композиторов»		9 минут на транспорте	ЮАО	р-н Даниловский	м. Автозаводская	18000000	461538		Московский Квартал
1260						ЖК «Sydney City»	сдача ГК: 1 кв. 2023 года	20 минут пешком	СЗАО	р-н Хорошево-Мневники	м. Хорошёво	18000000	437956	С отделкой	ФСК Агент
1261						ЖК «Остров»	сдача ГК: 2 кв. 2024 года	9 минут пешком	СЗАО	р-н Хорошево-Мневники	м. Терехово 	17990000	388553		Marry Lane Group
1262						ЖК «TopHills»	сдача ГК: 1 кв. 2023 года	4 минуты пешком	ЮАО	р-н Нагорный	м. Нагорная	17900000	333582		Unique
1263	1	40,09	10	31	F	ЖК «VERY»	сдача ГК: 1 кв. 2024 года	14 минут на транспорте	СВАО	р-н Марфино	м. Балтийская	18160770	453000		Основа
1264	1	41,18	23	28	F	ЖК «1-й Нагатинский»	сдача ГК: 3 кв. 2025 года	4 минуты пешком	ЮАО	р-н Нагатино-Садовники	м. Нагатинская	18256033	443323		Prime Life Development
1265	1	36	5	36	F	ЖК «FreeDOM»		9 минут на транспорте	СЗАО	р-н Хорошево-Мневники	м. Народное Ополчение	18250000	506944		Этажи Москва
1266	1	43,8	9	27	F	ЖК «Shagal»	сдача ГК: 1 кв. 2025 года	17 минут пешком	ЮАО	р-н Даниловский	м. Технопарк	18407367	420260		Группа Эталон
1267	1	40	5	8	A	ЖК «Verdi»	сдача ГК: 2 кв. 2024 года	5 минут пешком	САО	р-н Савеловский	м. Петровский Парк	18564326	464108		Glincom
1268	1	35,38	23	26	F	ЖК «Дом Достижение»	сдача ГК: 1 кв. 2024 года	10 минут пешком	СВАО	р-н Марфино	м. Бутырская	18530000	523742		Sminex-Интеко
1269	1	43,82	2	17	F	ЖК «Преображенская площадь»	сдача ГК: 3 кв. 2024 года	5 минут пешком	ВАО	р-н Преображенское	м. Преображенская площадь	18483921	421815		Regions Development
1270	1	42,5	2	25	F	ЖК «Символ»	сдача ГК: 3 кв. 2025 года	10 минут пешком	ЮВАО	р-н Лефортово	м. Площадь Ильича	18525750	435900		ДОНСТРОЙ
1271	1	37	22	30	F	ЖК «D1»		2 минуты пешком	САО	р-н Тимирязевский	м. Дмитровская	18500000	500000		СЕДЬМОЕ НЕБО
1272	1	44,5	25	32	F	ЖК «Преображение»		5 минут пешком	ВАО	р-н Богородское	м. Бульвар Рокоссовского	18500000	415730		EstateLiga
1273						ЖК «Level Причальный»	сдача ГК: 4 кв. 2023 года	10 минут пешком	СЗАО	р-н Хорошево-Мневники	м. Шелепиха	18500000	536232		РЕНТАВЕД
1274						ЖК «Sky Garden»	сдача ГК: 2 кв. 2025 года	19 минут пешком	СЗАО	р-н Покровское-Стрешнево	м. Тушинская	18650450	409900	С отделкой	ФСК
1275	1	42,4	3	29	F	ЖК «Stories на Мосфильмовской»	сдача ГК: 1 кв. 2026 года	3 минуты пешком	ЗАО	р-н Раменки	м. Аминьевская	18670781	440349		October Group
1276	1	46,1	20	35	F	ЖК «Фестиваль парк-2»		7 минут пешком	САО	р-н Левобережный	м. Речной вокзал	18803175	407878		ТПУ Рассказовка
1277	1	43,57	24	55	F	ЖК «Mod»	сдача ГК: 4 кв. 2024 года	14 минут пешком	СВАО	р-н Марьина роща	м. Рижская	18847641	432583		MR Group
1278	1	39	13	24	F	ЖК «Sydney City»	сдача ГК: 2 кв. 2023 года	15 минут пешком	СЗАО	р-н Хорошево-Мневники	м. Шелепиха	18750000	480769		BARNES International Realty
1279						ЖК «Вестердам»		4 минуты на транспорте	ЗАО	р-н Очаково-Матвеевское	м. Мичуринский проспект	18990000	548844		Homeapp
1280	1	34,3	2	13	A	ЖК «Logos»	сдача ГК: 3 кв. 2024 года	8 минут пешком	ЮАО	р-н Даниловский	м. Тульская	18978086	553297		Логос
1281	1	32,36	7	13	A	ЖК «Поклонная No. 7»	сдача ГК: 3 кв. 2025 года	8 минут пешком	ЗАО	р-н Дорогомилово	м. Парк Победы	19196210	593208		СПЕЦСТРОЙ-1
1282	1	42,7	2	19	F	ЖК «Клубный город на реке Primavera»	сдача ГК: 2 кв. 2025 года	12 минут пешком	СЗАО	р-н Покровское-Стрешнево	м. Спартак	19372990	453700		Стадион Спартак
1283	1	38,9	6	11	A	ЖК «KAZAKOV Grand Loft»		8 минут пешком	ЦАО	р-н Басманный	м. Курская	19500000	501285		EstateLiga
1284	1	43,3	19	35	F	ЖК «Nagatino i-Land»	сдача ГК: 2 кв. 2026 года	6 минут пешком	ЮАО	р-н Даниловский	м. Технопарк	19598560	452623		Группа Эталон
1285	1	47,4	4	9	F	ЖК «Событие»		14 минут пешком	ЗАО	р-н Раменки	м. Аминьевская	19500000	411392		RED
1286	1	42	6	22	F	ЖК «LIFE-Ботанический сад»		9 минут пешком	СВАО	р-н Свиблово	м. Ботанический сад	19490000	464048		OPN PARTNER
1287						ЖК «Остров»	сдача ГК: 3 кв. 2023 года	8 минут пешком	СЗАО	р-н Хорошево-Мневники	м. Терехово 	19550000	609034		ID 12552105
1288						ЖК «Архитектор»	сдача ГК: 4 кв. 2023 года	13 минут пешком	ЮЗАО	р-н Обручевский	м. Калужская	19627200	522000		ФСК
1289						ЖК «Крылья»		7 минут на транспорте	ЗАО	р-н Раменки	м. Мичуринский проспект	19800000	450000		Whitewill
1290						ЖК «D1»		2 минуты пешком	САО	р-н Тимирязевский	м. Дмитровская	19800000	495000		СЕДЬМОЕ НЕБО
1291	1	39,4	2	27	F	ЖК «Павелецкая сити»	сдача ГК: 4 кв. 2023 года	16 минут пешком	ЮАО	р-н Даниловский	м. Серпуховская	20045815	508777		MR Group
1292						ЖК «RiverSky»		19 минут пешком	ЮАО	р-н Даниловский	м. Автозаводская	20000000	410088		Intermark Real Estate - ранее Savills - городская недвижимость
1293						ЖК «Famous»	сдача ГК: 4 кв. 2023 года	5 минут пешком	ЗАО	р-н Филевский парк	м. Фили	20126491	540308		MR Group
1294	1	47,4	26	52	F	ЖК «Afi Tower»		9 минут пешком	СВАО	р-н Свиблово	м. Свиблово	20064420	423300		AFI Development
1295	1	47,6	20	52	F	ЖК «Afi Tower»		9 минут пешком	СВАО	р-н Свиблово	м. Свиблово	20058640	421400		AFI Development
1296	1	47,7	4	41	F	ЖК «Hide»		16 минут пешком	ЗАО	р-н Раменки	м. Кутузовская	20300000	425577		EstateLiga
1297	1	39,7	3	48	F	ЖК «Событие»	сдача ГК: 3 кв. 2025 года	14 минут пешком	ЗАО	р-н Раменки	м. Мичуринский проспект	20358954	512820		ДОНСТРОЙ
1298						ЖК «Сити-комплекс Амарант»	сдача ГК: 4 кв. 2023 года	4 минуты пешком	ЦАО	р-н Замоскворечье	м. Павелецкая	20383231	437408		МИЦ
1299						ЖК «Лайнер»		4 минуты пешком	САО	р-н Хорошевский	м. ЦСКА	20300000	349398		Владис
1300						ЖК «Режиссер»	сдача ГК: 4 кв. 2023 года	12 минут пешком	СВАО	р-н Ростокино	м. Ботанический сад	20300000	447137	С отделкой	ФСК Агент
1301						ЖК «Rotterdam»	сдача ГК: 3 кв. 2024 года	12 минут пешком	ЮАО	р-н Нагатино-Садовники	м. Нагатинская	20406150	496500		ФСК
1302	1	51,1	2	20	F	ЖК «Западный порт»	дом сдан	3 минуты пешком	ЗАО	р-н Филевский парк	м. Фили	20510211	401374		ПИК
1303	1	52,65	3	19	F	ЖК «FORIVER»	сдача ГК: 2 кв. 2024 года	19 минут пешком	ЮАО	р-н Даниловский	м. Автозаводская	20450774	388429		Инград
1304								9 минут пешком	ЮАО	р-н Донской	м. Тульская	20400000	434043		Этажи Москва
1305	1	38,1	4	13	F	ЖК «Остров»	сдача ГК: 4 кв. 2024 года	13 минут пешком	СЗАО	р-н Хорошево-Мневники	м. Терехово 	20421600	536000		Донстрой
1306	1	41,3	3	18	F	ЖК «Лефорт»		4 минуты на транспорте	ЮВАО	р-н Лефортово	м. Бауманская	20573562	498149		НДВ
1307	1	43,5	15	25	F	ЖК «Sydney City»		7 минут на транспорте	СЗАО	р-н Хорошево-Мневники		20999000	482736	С отделкой	Владис
1308	1	45,97	7	37	F	ЖК «iLove»	сдача ГК: 4 кв. 2023 года	13 минут пешком	СВАО	р-н Останкинский	м. Алексеевская	21054260	458000		КОРТРОС
1309						ЖК «Режиссер»	сдача ГК: 4 кв. 2023 года	11 минут пешком	СВАО	р-н Ростокино	м. Ботанический сад	21027285	576090		ФСК
1310								3 минуты пешком	СВАО	р-н Марьина роща	м. Марьина роща	21200000	488479		Метражи group
1311	1	52,1	2	14	F	ЖК «FORIVER»	сдача ГК: 4 кв. 2023 года	12 минут пешком	ЮАО	р-н Даниловский	м. Автозаводская	21152600	406000		OXE CAPITAL - Элитная Недвижимость
1312	1	47	31	41	F			19 минут пешком	СЗАО	р-н Хорошево-Мневники	м. Шелепиха	21000000	446809		ZAPAD REALTY - офис Маршала Жукова
1313	1	46,5	2	49	F	ЖК «Событие»	сдача ГК: 3 кв. 2025 года	11 минут пешком	ЗАО	р-н Раменки	м. Мичуринский проспект	21442080	461120		ДОНСТРОЙ
1314						ЖК «SOUL»	сдача ГК: 3 кв. 2025 года	4 минуты пешком	САО	р-н Аэропорт	м. Красный Балтиец	21286374	451940		Forma
1315						ЖК «TWICE»		20 минут пешком	ЗАО	р-н Кунцево	м. Молодёжная	21378000	420000		VSN Realty
1316						ЖК «Rotterdam»	сдача ГК: 1 кв. 2025 года	7 минут пешком	ЮАО	р-н Нагатино-Садовники	м. Нагатинская	21461300	494500		ФСК
1317	1	41,8	13	14	F	ЖК «FORIVER»	сдача ГК: 2 кв. 2024 года	5 минут на транспорте	ЮАО	р-н Даниловский	м. Дубровка	21930056	524642		Инград
1318						ЖК «D1»		2 минуты пешком	САО	р-н Тимирязевский	м. Дмитровская	22000000	550000		Homeapp
1319	1	37,7	7	13	A	ЖК «Logos»	сдача ГК: 3 кв. 2024 года	8 минут пешком	ЮАО	р-н Даниловский	м. Тульская	22296159	591410		Логос
1320	1	46,6	11	23	F	ЖК «Династия»		2 минуты на транспорте	САО	р-н Хорошевский		22500000	482833		Этажи Москва
1321								7 минут пешком	ЦАО	р-н Хамовники	м. Смоленская	22300000	663690		Life Style
1322						ЖК «Остров»	сдача ГК: 1 кв. 2025 года	3 минуты пешком	СЗАО	р-н Хорошево-Мневники	м. Терехово 	22700000	515909		ID 87918900
1323	1	39,2	18	32	F	ЖК «Павелецкая сити»	сдача ГК: 4 кв. 2023 года	17 минут пешком	ЮАО	р-н Даниловский	м. Серпуховская	22788544	581340		MR Group
1324						ЖК «Архитектор»	сдача ГК: 4 кв. 2023 года	11 минут пешком	ЮЗАО	р-н Обручевский	м. Калужская	22988980	529700		ФСК
1325						ЖК «Режиссер»	сдача ГК: 4 кв. 2023 года	11 минут пешком	СВАО	р-н Ростокино	м. Ботанический сад	22871160	586440		ФСК
1326						ЖК «River Park Towers Кутузовский»		5 минут пешком	ЗАО	р-н Дорогомилово	м. Фили	23169170	526572		Аеон-Девелопмент
1327	1	47,8	12	49	F	ЖК «Событие»	сдача ГК: 3 кв. 2025 года	11 минут пешком	ЗАО	р-н Раменки	м. Мичуринский проспект	23069236	482620		ДОНСТРОЙ
1328	1	45,2	11	18	A	ЖК «Комплекс апартаментов Slava»	сдача ГК: 1 кв. 2023 года	4 минуты пешком	САО	р-н Беговой	м. Белорусская	23600000	522124		ID 45849975
1329						ЖК «River Park Towers Кутузовский»		5 минут пешком	ЗАО	р-н Дорогомилово	м. Фили	23945427	528597		Аеон-Девелопмент
1330						ЖК «Триколор»		15 минут пешком	СВАО	р-н Ростокино	м. ВДНХ	23900000	487755		ДомЭль Недвижимость. Отделение на Серпуховской. 8 отдел
1331	1	48,9	4	32	F	ЖК «Павелецкая сити»	сдача ГК: 4 кв. 2023 года	17 минут пешком	ЮАО	р-н Даниловский	м. Серпуховская	24045932	491737		MR Group
1332	1	52,2	10	11	F			7 минут пешком	ЦАО	р-н Мещанский	м. Цветной бульвар	24000000	459770		Владис
1333	1	43	4	26	F	ЖК «Городские резиденции SPIRES»		7 минут на транспорте	ЗАО	р-н Очаково-Матвеевское	м. Минская	24000000	558140		TWEED
1334						ЖК «Famous»	сдача ГК: 4 кв. 2023 года	5 минут пешком	ЗАО	р-н Филевский парк	м. Фили	24243814	611908	С отделкой	MR Group
1335	1	45,52	21	22	F	ЖК «ЗИЛАРТ»		9 минут пешком	ЮАО	р-н Даниловский	м. ЗИЛ	24300000	533831		Владис
1336	1	40	20	20	F	ЖК «Западный порт»		9 минут пешком	ЗАО	р-н Филевский парк	м. Фили	24200000	605000		Homeapp
1337	1	53,3	2	21	A	ЖК «Глоракс Премиум Белорусская»	сдача ГК: 3 кв. 2024 года	7 минут пешком	САО	р-н Беговой	м. Белорусская	24459999	458912		GloraX
1338						ЖК «Famous»	сдача ГК: 4 кв. 2023 года	5 минут пешком	ЗАО	р-н Филевский парк	м. Фили	24709303	516715		MR Group
1339						ЖК «Sydney City»	сдача ГК: 3 кв. 2025 года	19 минут пешком	СЗАО	р-н Хорошево-Мневники	м. Хорошёво	24735660	496700		ФСК
1340	1	40,5	9	41	F	ЖК «Прайм Парк»		12 минут пешком	САО	р-н Хорошевский	м. Аэропорт	25000000	617284		White and Broughton
1341						ЖК «Сити-комплекс Амарант»	сдача ГК: 4 кв. 2023 года	4 минуты пешком	ЦАО	р-н Замоскворечье	м. Павелецкая	25144685	450622		МИЦ
1342	1	54,88	9	19	F	ЖК «FORIVER»	сдача ГК: 2 кв. 2024 года	3 минуты на транспорте	ЮАО	р-н Даниловский	м. Павелецкая	24919056	454064		Инград
1343	1	48,1	14	16	A	ЖК «Комплекс апартаментов Slava»		4 минуты пешком	САО	р-н Беговой	м. Белорусская	25000000	519751	С отделкой	EstateLiga
1344	1	57,01	3	24	F	ЖК «Dream Towers»	сдача ГК: 2 кв. 2023 года	5 минут пешком	ЮАО	р-н Нагатинский затон	м. Технопарк	25865460	453700		Regions Development
1345	1	54,4	8	21	F	ЖК «СОЮЗ»		9 минут пешком	СВАО	р-н Ростокино	м. Ботанический сад	25822400	474676		Группа Родина
1346	1	44,5	10	20	F	ЖК «Западный порт»		10 минут пешком	ЗАО	р-н Филевский парк	м. Фили	25800000	579775		EstateLiga
1347	1	55,6	8	13	F	ЖК «Клубный город на реке Primavera»	сдача ГК: 2 кв. 2025 года	12 минут пешком	СЗАО	р-н Покровское-Стрешнево	м. Спартак	25998560	467600		Стадион Спартак
1348						ЖК «Режиссер»	сдача ГК: 4 кв. 2023 года	12 минут пешком	СВАО	р-н Ростокино	м. Ботанический сад	26243120	580600		ФСК
1349	1	51,1	2	22	F	ЖК «Клубный город на реке Primavera»	сдача ГК: 2 кв. 2025 года	12 минут пешком	СЗАО	р-н Покровское-Стрешнево	м. Спартак	26413590	516900		Стадион Спартак
1350	1	63	33	48	F	ЖК «Континенталь»		6 минут на транспорте	СЗАО	р-н Хорошево-Мневники	м. Октябрьское поле	26500000	420635		НДВ
1351						ЖК «Прайм Парк»		12 минут пешком	САО	р-н Хорошевский	м. Аэропорт	26500000	655941		ЛИДЕР Риэлти - офис Динамо
1352						ЖК «Сити-комплекс Амарант»	сдача ГК: 4 кв. 2023 года	4 минуты пешком	ЦАО	р-н Замоскворечье	м. Павелецкая	26909626	560617		МИЦ
1353						ЖК «Фили Град»		13 минут пешком	ЗАО	р-н Филевский парк	м. Фили	27000000	694087		Ашихмин и партнёры
1354	1	45,4	3	9	F			17 минут пешком	ЦАО	р-н Хамовники		27000000	594714		Адресат
1355	1	46,2	5	8	A	ЖК «Комплекс апартаментов Slava»	дом сдан	3 минуты пешком	САО	р-н Беговой	м. Белорусская	27258000	590000		MR Group
1356	1	53,67	3	21	A	ЖК «Глоракс Премиум Белорусская»	сдача ГК: 3 кв. 2024 года	7 минут пешком	САО	р-н Беговой	м. Белорусская	27509999	512577		GloraX
1357	1	41,9	3	20	F	ЖК «Ренессанс»	дом сдан	13 минут пешком	ВАО	р-н Сокольники	м. Сокольники	27695900	661000	С отделкой	494 УНР
1358	1	48,9	7	8	A	ЖК «Комплекс апартаментов Slava»	дом сдан	3 минуты пешком	САО	р-н Беговой	м. Белорусская	28028000	573170		MR Group
1359	1	38	2	6	A	ЖК «Art Residence»		5 минут пешком	САО	р-н Беговой	м. Белорусская	28000000	736842		OXE CAPITAL - Элитная Недвижимость
1360						ЖК «Мосфильмовский»		9 минут пешком	ЗАО	р-н Раменки	м. Раменки	28000000	560000		Chase R.E.S.
1361	1	42	5	35	F	ЖК «Headliner»		13 минут пешком	ЦАО	р-н Пресненский	м. Шелепиха	29000000	690476		METRAGE
1362	1	44	3	6	F			8 минут пешком	ЦАО	р-н Арбат	м. Арбатская	29000000	659091		ID 13363203
1363						ЖК «Republic»	сдача ГК: 4 кв. 2025 года	14 минут пешком	ЦАО	р-н Пресненский	м. Белорусская	29354204	628839		Forma
1364						ЖК «Sydney City»	сдача ГК: 3 кв. 2025 года	19 минут пешком	СЗАО	р-н Хорошево-Мневники	м. Хорошёво	30125160	479700		ФСК
1365	1	49,67	5	8	A	ЖК «Lunar»	сдача ГК: 4 кв. 2023 года	13 минут пешком	ЮЗАО	р-н Гагаринский	м. Ленинский проспект	31200000	628146	С отделкой	Hutton Development
1366						ЖК «Metropol Serviced Residences»		10 минут пешком	ЦАО	р-н Хамовники	м. Парк Культуры	31490000	1002547	С отделкой	ALVO Group
1367						ЖК «Небо — Небоскребы на Мичуринском, 56»		12 минут пешком	ЗАО	р-н Раменки	м. Раменки	33215000	651275		Cristall Realty
1368	1	53,2	21	21	A	ЖК «Зорге 9»		13 минут пешком	САО	р-н Хорошевский	м. Зорге	33506280	629817		St Michael
1369						ЖК «Metropol Serviced Residences»	сдача ГК: 3 кв. 2022 года	10 минут пешком	ЦАО	р-н Хамовники	м. Парк Культуры	34500000	1224273		PEOPLE
1370	1	56,7	37	41	F	ЖК «Hide»	сдача ГК: 4 кв. 2023 года	3 минуты на транспорте	ЗАО	р-н Раменки	м. Деловой центр	35247555	621650		MR Group
1371	1	42	3	5	A	ЖК «La Rue»		7 минут пешком	ЦАО	р-н Тверской	м. Трубная	36000000	857143		OXE CAPITAL - Элитная Недвижимость
1372						ЖК «Новочеремушкинская 17»		10 минут пешком	ЮЗАО	р-н Академический	м. Академическая	36758840	799105		Unique
1373	1	51	31	75	A	ЖК «NEVA TOWERS»		2 минуты пешком	ЦАО	р-н Пресненский	м. Тестовская	37000000	725490		ГАЛЕРЕЯ
1374						ЖК «NEVA TOWERS»		7 минут пешком	ЦАО	р-н Пресненский		38000000	745098		Эльмира Эмирова
1375	1	49	2	16	A	ЖК «Воробьёв Дом»		6 минут на транспорте	ЗАО	р-н Раменки	м. Студенческая	39000000	795918		PEOPLE
1376						ЖК «Wine House»		16 минут пешком	ЦАО	р-н Замоскворечье	м. Новокузнецкая	39500000	570809		PEOPLE
1377						ЖК «Lucky»	сдача ГК: 1 кв. 2023 года	8 минут пешком	ЦАО	р-н Пресненский	м. Улица 1905 года	40896000	900000		VESPER
1378	1	54,6	16	32	F	ЖК «HIGH LIFE Летниковская, 11»		10 минут пешком	ЮАО	р-н Даниловский	м. Павелецкая	40905774	749190	С отделкой	Пионер
1379	1	50,7	6	13	A	ЖК «Звёзды Арбата»		7 минут пешком	ЦАО	р-н Арбат	м. Смоленская	42000000	828402		БСК-Санкт-Петербург
1380	1	49,02	8	65	F	ЖК «Capital Towers»	дом сдан	8 минут пешком	ЦАО	р-н Пресненский	м. Выставочная	42000000	856793	С отделкой	Capital Group
1381	1	60,4	21	32	F	ЖК «HIGH LIFE Летниковская, 11»		8 минут пешком	ЮАО	р-н Даниловский	м. Павелецкая	43950724	727661		Пионер
1382	1	62	5	7	A	ЖК «Clerkenwell House»		8 минут пешком	ЦАО	р-н Хамовники	м. Спортивная	45000000	725806		EstateLiga
1383						ЖК «Lucky»	сдача ГК: 1 кв. 2023 года	8 минут пешком	ЦАО	р-н Пресненский	м. Улица 1905 года	45640000	1000000		VESPER
1384	1	66,3	5	18	F	ЖК «Luzhniki Collection»	сдача ГК: 4 кв. 2026 года	12 минут пешком	ЦАО	р-н Хамовники	м. Воробьёвы горы	48459000	730905		Absolute Premium
1385	1	61,3	10	18	F	ЖК «Бадаевский»	сдача ГК: 4 кв. 2025 года	16 минут пешком	ЗАО	р-н Дорогомилово	м. Киевская	53944000	880000		Capital Group
1386	1	77,6	6	12	A	ЖК «Резиденция Тверская»		15 минут пешком	ЦАО	р-н Тверской		55000000	708763		Etagi Prime
1387	1	60,7	6	18	F	ЖК «Luzhniki Collection»	сдача ГК: 4 кв. 2026 года	15 минут пешком	ЦАО	р-н Хамовники	м. Воробьёвы горы	55858000	920231		Absolute Premium
1388	1	65,6	3	9	A	ЖК «Титул на Серебрянической»	дом сдан	14 минут пешком	ЦАО	р-н Таганский	м. Китай-город	56526339	861682		Центр-Инвест
1389	1	55,3	5	9	A	ЖК «CULT (Апартаменты премиум-класса)»	сдача ГК: 4 кв. 2023 года	1 минута пешком	ЦАО	р-н Якиманка	м. Октябрьская	56299239	1018069		GRAVION
1390	1	59,96	3	6	A	ЖК «Клубный дом Космо 4/22»		15 минут пешком	ЦАО	р-н Замоскворечье	м. Новокузнецкая	56494312	942200		Галс-Девелопмент
1391	1	65	10	18	F	ЖК «Бадаевский»	сдача ГК: 4 кв. 2025 года	16 минут пешком	ЗАО	р-н Дорогомилово	м. Киевская	57200000	880000		Capital Group
1392	1	50	2	16	F	ЖК «Коперник»		9 минут пешком	ЦАО	р-н Якиманка	м. Полянка	60000000	1200000		Mosaic Realty
1393	1	77,6	11	13	A	ЖК «Звёзды Арбата»		7 минут пешком	ЦАО	р-н Арбат	м. Смоленская	59900000	771907		БСК-Санкт-Петербург
1394	1	61,5	4	5	A	ЖК «Metropol Serviced Residences»	сдача ГК: 2 кв. 2023 года	10 минут пешком	ЦАО	р-н Хамовники	м. Парк Культуры	60171600	978400	С отделкой	KR Properties
1395	1	66,4	6	7	A	ЖК «BALCHUG RESIDENCE»	дом сдан	8 минут пешком	ЦАО	р-н Замоскворечье	м. Новокузнецкая	63080000	950000		БАЛЧУГ РЕЗИДЕНС
1396	1	48,23	3	6	A	ЖК «Клубный дом Космо 4/22»		15 минут пешком	ЦАО	р-н Замоскворечье	м. Новокузнецкая	63528556	1317200		Галс-Девелопмент
1397	1	76,6	4	5	A	ЖК «Metropol Serviced Residences»	сдача ГК: 2 кв. 2023 года	10 минут пешком	ЦАО	р-н Хамовники	м. Парк Культуры	79664000	1040000	С отделкой	KR Properties
1398	1	111,6	6	8	F	ЖК «Turandot Residences»	дом сдан	9 минут пешком	ЦАО	р-н Арбат	м. Арбатская	80352000	720000		Valartis Group
1399	1	62,86	4	7	F	ЖК «Титул на Якиманке»	дом сдан	2 минуты пешком	ЦАО	р-н Якиманка	м. Полянка	87863885	1397771		Центр-Инвест
1400	1	84,4	5	6	A	ЖК «Magnum»	дом сдан	10 минут пешком	ЦАО	р-н Хамовники	м. Спортивная	88999800	1054500		WE KNOW
1401	1	86,3	5	6	A	ЖК «Magnum»	дом сдан	10 минут пешком	ЦАО	р-н Хамовники	м. Спортивная	91003350	1054500		WE KNOW
1402	1	45,58	1	5	A	ЖК «Ильинка 3/8»	сдача ГК: 4 кв. 2024 года	2 минуты пешком	ЦАО	р-н Тверской	м. Площадь Революции	96440000	2115840		Sminex-Интеко
