	nrooms	meters	floor	floors_total	flat_or_appart	zh_comp	deadline	to_metro	district	area	metro	mainprice	price_per_meter	otdelka	developer
6614						ЖК «Lucky»	сдача ГК: 1 кв. 2023 года	7 минут пешком	ЦАО	р-н Пресненский	м. Улица 1905 года	55777772	1111111		VESPER
6615	1	57	5	8	F	ЖК «Тессинский, 1»		15 минут пешком	ЦАО	р-н Таганский	м. Китай-город	76494000	1342000		Стрелецкая Слобода
6616						ЖК «AHEAD»	сдача ГК: 4 кв. 2024 года	11 минут пешком	ЗАО	р-н Филевский парк	м. Филёвский парк	36185160	521400		VOSHOD
6617	1	53,17	2	9	A	ЖК «CULT (Апартаменты премиум-класса)»	сдача ГК: 4 кв. 2023 года	1 минута пешком	ЦАО	р-н Якиманка	м. Октябрьская	55090638	1036123		GRAVION
6618						ЖК «PRIDE»		13 минут пешком	СВАО	р-н Марьина роща	м. Савёловская	16106665	500207		Пионер
6619	1	75,3	5	11	F	ЖК «OPUS»	сдача ГК: 3 кв. 2025 года	15 минут пешком	ЮАО	р-н Даниловский	м. Павелецкая	57168738	759213		Пионер
6620						ЖК «SYMPHONY 34»		8 минут пешком	САО	р-н Савеловский	м. Дмитровская	18472662	491033	С отделкой	MR Group
6621	1	52,1	3	3	F			4 минуты пешком	ЦАО	р-н Басманный	м. Китай-город	52000000	998081		ID 413522
6622						ЖК «Republic»	сдача ГК: 4 кв. 2025 года	14 минут пешком	ЦАО	р-н Пресненский	м. Белорусская	29170858	736266		Forma
6623	1	44,9	6	19	F	ЖК «Остров»	сдача ГК: 1 кв. 2025 года	1 минута пешком	СЗАО	р-н Хорошево-Мневники	м. Терехово 	25606470	570300		Донстрой
6624	1	94	4	8	F	ЖК «Парк Палас»		10 минут пешком	ЦАО	р-н Хамовники	м. Кропоткинская	100000000	1063830		Ramenky Realty
6625	1	59,2	6	12	F	ЖК «Вишневый сад»		7 минут на транспорте	ЗАО	р-н Раменки	м. Минская	79600000	1344595		ID 413522
